Product Name,Price,Color,Product Link,Image Link
Oversized T-shirt,Rs.699.00,Black,https://www2.hm.com/en_in/productpage.1137208004.html,"https://lp2.hm.com/hmgoepprod?set=source[/dc/fd/dcfdf9b7f7281c0b05a8548a57911b4ee788c5c2.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Wide joggers,"Rs.1,299.00",Light grey marl,https://www2.hm.com/en_in/productpage.1199249002.html,"https://lp2.hm.com/hmgoepprod?set=source[/67/70/6770c783be4496561e47555f1688e4037fee3d05.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Slim Straight High Jeans,"Rs.1,999.00",Denim blue,https://www2.hm.com/en_in/productpage.1199187011.html,"https://lp2.hm.com/hmgoepprod?set=source[/0c/8c/0c8cfb992d96335663b40fb84697321fdc6b7618.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cotton T-shirt,Rs.599.00,Light beige,https://www2.hm.com/en_in/productpage.0963662106.html,"https://lp2.hm.com/hmgoepprod?set=source[/34/6e/346e2347947b90a8ec53bd6fa57b15655493d298.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen-blend shirt,"Rs.1,499.00",Blue,https://www2.hm.com/en_in/productpage.1202784010.html,"https://lp2.hm.com/hmgoepprod?set=source[/7d/ce/7dcec5c37f9fa680d00e795ee98bbf768d30051f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Wide pull-on trousers,"Rs.1,299.00",Black/Zebra print,https://www2.hm.com/en_in/productpage.1216645003.html,"https://lp2.hm.com/hmgoepprod?set=source[/d3/2f/d32f04e5467100698e32b9c0ad0b69b6b22ffb40.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cotton T-shirt,Rs.599.00,Light grey marl,https://www2.hm.com/en_in/productpage.0963662097.html,"https://lp2.hm.com/hmgoepprod?set=source[/c8/a9/c8a9b97311f1ecf4e1fc794b2739a2af142e66fa.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen-blend midi dress,"Rs.2,299.00",Cream/Floral,https://www2.hm.com/en_in/productpage.1217048004.html,"https://lp2.hm.com/hmgoepprod?set=source[/05/8b/058b8a2b04a613509f7aed8f399ed9c0ad57bc62.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]"
Oversized crinkled dress,"Rs.2,999.00",Cream/Floral,https://www2.hm.com/en_in/productpage.1219083002.html,"https://lp2.hm.com/hmgoepprod?set=source[/9a/bd/9abd7785fbcb8811397c2c28e9681eeb093028d8.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]"
Long-sleeved jersey top,Rs.799.00,Light dusty green,https://www2.hm.com/en_in/productpage.1089811022.html,"https://lp2.hm.com/hmgoepprod?set=source[/8d/3b/8d3b731424330aa3a0183390fd42c2e88941dd74.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
High-waisted joggers,"Rs.1,499.00",Dusty pink marl,https://www2.hm.com/en_in/productpage.0975845062.html,"https://lp2.hm.com/hmgoepprod?set=source[/29/1b/291b93dcf895311e382b1457e762e5bbcdf9aba6.jpg],origin[dam],category[ladies_basics_trousersleggings],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Linen shirt,"Rs.1,999.00",Black,https://www2.hm.com/en_in/productpage.1219107001.html,"https://lp2.hm.com/hmgoepprod?set=source[/36/dd/36dd9504e32315cdbc94e7157e0d8df1ee18e516.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Nylon parachute trousers,"Rs.1,499.00",Dark grey,https://www2.hm.com/en_in/productpage.1214167002.html,"https://lp2.hm.com/hmgoepprod?set=source[/d5/98/d59844792f9da90a95d1ee53bb16de1963a40fdc.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cropped strappy top,Rs.399.00,Dusty pink marl,https://www2.hm.com/en_in/productpage.1201715008.html,"https://lp2.hm.com/hmgoepprod?set=source[/2e/9b/2e9bcbd4857b1e6056cb83556d2594bd9da2837d.jpg],origin[dam],category[ladies_basics_tops_vests],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
